"Role","appointments:view_own","appointments:view_incoming","appointments:create","appointments:manage_own","appointments:cancel_own","appointments:reschedule_own","appointments:view_calendar","appointments:confirm","appointments:complete","sessions:view_own","sessions:view_history","patients:view_own","patients:view_all","patients:view_history","patients:send_notes","patients:manage_records","patients:view_insights","events:create","events:view_own","events:edit_own","events:delete_own","events:toggle_active","availability:view_own","availability:create","availability:edit_own","availability:delete_own","availability:set_limits","calendars:connect","calendars:view_own","calendars:edit_own","calendars:disconnect","reviews:create","reviews:view_own","reviews:view_about_me","reviews:edit_own","reviews:delete_own","reviews:respond","profile:view_own","profile:edit_own","profile:view_expert","profile:edit_expert","profile:preview","profile:manage_link","experts:browse","experts:view_profiles","experts:view_applications","experts:approve","experts:reject","experts:suspend","experts:verify","analytics:view","analytics:revenue","analytics:patients","analytics:performance","analytics:export","analytics:platform_growth","analytics:platform_revenue","analytics:platform_engagement","analytics:platform_churn","analytics:platform_export","branding:customize","branding:upload_logo","branding:custom_colors","billing:view_own","billing:view_earnings","billing:view_payouts","billing:view_subscription","billing:manage_subscription","billing:methods_manage","billing:manage_clinic_sub","billing:view_clinic_billing","settings:view_own","settings:edit_own","settings:security","settings:view_platform","settings:edit_platform","settings:manage_features","settings:manage_integrations","dashboard:view_expert","dashboard:view_patient","users:view_all","users:create","users:edit","users:delete","users:manage_roles","users:impersonate","organizations:view_all","organizations:create","organizations:edit","organizations:delete","organizations:manage_settings","payments:view_all","payments:view_transfers","payments:manage_disputes","payments:process_refunds","payments:retry_failed","categories:create","categories:edit","categories:delete","categories:manage_tags","moderation:view_flags","moderation:review_content","moderation:remove_content","moderation:ban_users","audit:view_logs","audit:export_logs","audit:view_reports","audit:generate_reports","support:view_tickets","support:respond_tickets","support:escalate","support:close_tickets","clinic:view_dashboard","clinic:view_patients","clinic:view_schedule","clinic:manage_settings","clinic:manage_branding","clinic:view_analytics","clinic:export_data","team:view_members","team:invite_members","team:remove_members","team:manage_roles","team:view_performance","schedule:manage_clinic","schedule:manage_rooms","schedule:view_capacity","revenue:view_overview","revenue:view_splits","revenue:manage_payouts","revenue:view_invoices","revenue:export_financial"
"Patient","X","","X","","X","X","","","","X","","","","","","","","","","","","","","","","","","","","","","X","X","","X","X","","X","X","","","","","X","X","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expert Community","X","X","X","X","X","X","X","X","X","X","","X","","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","","","","","","","","","","","","","","","","","","X","X","X","X","X","X","","","X","X","X","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expert Top","X","X","X","X","X","X","X","X","X","X","","X","","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","","","","","X","X","X","X","X","","","","","","X","X","X","X","X","X","X","X","X","","","X","X","X","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Clinic Member","X","X","X","X","X","X","X","X","X","X","","X","","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","","","","","","","","","","","","","","","","","","X","X","X","X","X","X","","","X","X","X","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","","","","","X","","","","","","","","","","","",""
"Clinic Admin","X","X","X","X","X","X","X","X","X","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","","","","","","","","","","","","","","","","","","X","X","X","X","X","X","X","X","X","X","X","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"Platform Admin","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
